id,Feature_One,Feature_Two,Feature_Three,labels
1128,1963,987,3965,131
1129,1,12,994,54
1130,1980,3003,989,57
1131,1985,2996,4993,149
1132,3010,1997,5009,98
1133,1009,960,981,83
1134,5007,1991,2999,126
1135,42,2964,3017,43
1136,4980,1012,2991,70
1137,4029,1980,4996,123
1138,30,18,2993,82
1139,1977,3983,996,207
1140,973,4998,5022,23
1141,24,4,3030,82
1142,11,11,4983,30
1143,4997,4017,4018,50
1144,3,984,993,110
1145,4977,3996,1000,210
1146,15,10,11,151
1147,2007,1002,4996,28
1148,3981,4000,1990,32
1149,2975,2990,3027,172
1150,1,4016,4022,35
1151,2998,5015,4002,205
1152,1980,5006,2998,195
1153,5001,4017,1993,160
1154,989,990,1004,83
1155,5027,20,7,74
1156,3990,2994,2974,189
1157,1986,2014,4001,150
1158,5008,986,1998,124
1159,4995,995,2007,124
1160,5007,4025,3961,50
1161,3962,1978,2995,142
1162,4016,47,19,4
1163,2010,23,1016,155
1164,3997,11,2027,25
1165,3975,5014,995,113
1166,3986,7,2988,49
1167,2030,1991,2009,46
1168,976,3033,5017,13
1169,2975,3025,985,143
1170,4003,984,4032,166
1171,7,4962,43,182
1172,2010,4995,1000,136
1173,4991,2995,1982,107
1174,3013,4996,4014,205
1175,4002,3971,2048,32
1176,4993,4978,3950,111
1177,3008,2010,4999,98
1178,985,2992,2014,209
1179,2016,2041,980,66
1180,1980,4996,1991,154
1181,3011,5012,18,199
1182,988,34,5,55
1183,2982,998,2989,26
1184,3008,1048,2014,12
1185,5,12,2019,3
1186,3000,3974,29,84
1187,4993,1005,4980,6
1188,3004,4982,1025,29
1189,2990,1002,3029,26
1190,2014,2010,5042,198
1191,4009,1988,3007,142
1192,1019,4016,997,168
1193,1016,2000,3968,196
1194,2016,1,3,148
1195,2018,993,5017,28
1196,34,972,5037,118
1197,2987,5007,4978,18
1198,2014,3990,4003,48
1199,4976,4985,3977,111
1200,3991,4979,5017,72
1201,1976,4993,5019,81
1202,3003,2986,994,143
1203,4007,4004,4999,114
1204,5007,22,5010,128
1205,2004,1984,1983,46
1206,996,996,2978,197
1207,5009,2033,1992,99
1208,3978,2974,4983,156
1209,2006,17,2982,190
1210,989,4022,30,17
1211,4955,1972,1990,99
1212,1026,3022,997,97
1213,5053,3003,1979,107
1214,35,4013,15,40
1215,5016,2012,4015,183
1216,1964,3984,3959,48
1217,2992,4987,5,199
1218,4998,4006,2008,160
1219,21,1987,1991,0
1220,3993,986,4981,180
1221,3006,2006,976,60
1222,4004,3971,952,175
1223,4015,2976,3988,20
1224,2965,41,17,141
1225,2009,5000,5018,81
1226,4008,4037,25,75
1227,1999,1968,2983,31
1228,3995,4991,998,113
1229,3008,4995,4979,18
1230,1003,2011,3,7
1231,3988,1980,3022,142
1232,1990,3021,3003,19
1233,4987,5021,994,62
1234,41,3,7,151
1235,2999,4016,2012,191
1236,1976,4002,4987,119
1237,1037,2011,24,7
1238,1976,4003,2033,121
1239,20,32,4977,30
1240,4994,989,993,41
1241,1992,3986,33,115
1242,4994,3,3995,33
1243,2005,3012,2973,19
1244,1999,19,3,148
1245,3012,3018,3007,172
1246,1006,4005,24,17
1247,5009,22,2031,140
1248,1011,9,2024,59
1249,997,5007,5019,23
1250,1992,5008,4997,81
1251,3987,2005,3992,89
1252,4023,16,5006,169
1253,4969,3969,1026,210
1254,5017,5034,997,62
1255,3004,7,2011,179
1256,4008,2021,993,65
1257,994,3961,33,17
1258,4972,4962,2022,188
1259,1992,2002,3965,150
1260,4976,1006,1981,124
1261,1026,16,2001,59
1262,2025,3016,4975,149
1263,9,992,1031,110
1264,1011,4010,3974,206
1265,2000,47,3997,92
1266,2992,3018,3995,202
1267,4,4988,2984,58
1268,3,3010,3980,112
1269,3015,3006,0,186
1270,995,1007,1988,211
1271,1993,3985,4035,48
1272,5021,5035,2015,188
1273,4012,3021,1005,162
1274,999,1028,32,38
1275,1992,1973,4020,150
1276,3026,1995,1049,60
1277,4014,3,7,4
1278,973,5007,1,51
1279,5035,2009,2000,99
1280,4999,4961,5023,39
1281,1969,2008,4001,150
1282,2006,13,2990,190
1283,1003,10,3011,167
1284,5011,4997,2006,188
1285,2025,4,3016,190
1286,3972,4006,3027,69
1287,2011,23,2995,190
1288,2004,2981,2974,19
1289,990,2026,4000,196
1290,25,3998,16,40
1291,4975,2995,9,5
1292,36,2962,3986,112
1293,4001,4964,2050,106
1294,2992,3017,4979,91
1295,9,4011,3975,35
1296,1015,1996,7,7
1297,5034,1979,1002,153
1298,5062,1981,4,185
1299,4028,1989,1963,135
1300,24,999,5,173
1301,5021,4027,3020,21
1302,1972,3945,1016,207
1303,19,23,997,54
1304,987,5005,33,51
1305,4959,3992,2975,21
1306,5006,1008,4999,6
1307,1981,4011,2999,134
1308,2009,24,4983,212
1309,4989,977,5022,6
1310,3001,5,3013,77
1311,971,4017,2029,193
1312,4015,3005,1963,61
1313,4028,5013,5010,72
1314,38,2992,4007,112
1315,4008,4018,3998,36
1316,5,2980,1968,133
1317,998,4980,2994,24
1318,1026,31,5007,163
1319,5012,5009,4011,111
1320,24,1978,4988,11
1321,2974,4011,3990,45
1322,3007,11,3,141
1323,5003,5015,2007,188
1324,1020,5005,16,51
1325,4994,3986,4018,50
1326,997,5031,960,203
1327,1012,3001,3028,1
1328,5009,4038,6,71
1329,3002,2010,1037,60
1330,1987,4005,5019,119
1331,26,1009,2987,146
1332,2011,971,3995,131
1333,2004,3005,4987,149
1334,26,5010,2999,58
1335,3037,2025,4018,44
1336,3030,2025,14,144
1337,1005,2951,4010,213
1338,4017,4980,3022,164
1339,3996,3976,2980,69
1340,12,5011,4012,47
1341,967,4028,6,17
1342,9,995,1984,120
1343,3002,2967,4010,202
1344,1990,3022,5010,149
1345,3985,1039,1004,16
1346,5010,4004,14,71
1347,5008,988,1997,124
1348,3021,1992,3007,139
1349,3993,3991,1978,32
1350,1015,3992,3002,85
1351,1003,4023,2005,193
1352,1003,2978,1012,97
1353,3990,4000,2046,32
1354,2985,1989,1021,60
1355,3979,5014,3005,164
1356,42,2972,1996,133
1357,1984,1046,1997,80
1358,1992,3983,2023,121
1359,1035,2023,2003,100
1360,1000,12,989,165
1361,3017,2993,3976,202
1362,2008,982,23,8
1363,1995,1988,3015,31
1364,1005,5003,28,51
1365,5012,4978,969,62
1366,3020,2981,3994,202
1367,4993,2981,1996,107
1368,3012,967,1995,12
1369,13,1043,5031,118
1370,2997,4998,4934,18
1371,14,2969,4999,87
1372,4993,4988,5004,39
1373,1018,1980,4046,196
1374,1997,3987,3007,134
1375,3030,6,5035,132
1376,2988,2020,1010,60
1377,4008,12,1001,174
1378,2007,4971,5008,81
1379,1016,1002,1000,83
1380,3993,2017,4047,89
1381,1041,1980,4996,103
1382,998,3948,984,168
1383,3003,3004,11,186
1384,992,1995,10,7
1385,994,5012,1991,94
1386,3018,30,976,176
1387,1018,3014,997,97
1388,2007,4000,1003,207
1389,11,29,2036,3
1390,24,4,3009,82
1391,3997,3996,4053,36
1392,3001,2973,2018,10
1393,4006,20,3014,49
1394,44,1999,3975,108
1395,984,4035,3976,206
1396,5003,1984,35,185
1397,1006,4984,1005,203
1398,2995,1989,2960,139
1399,4000,3004,1008,162
1400,3999,1977,3020,142
1401,4023,983,2936,116
1402,1985,1013,3023,34
1403,984,14,4020,159
1404,2,10,3978,14
1405,3012,5007,4981,18
1406,996,3014,2007,209
1407,4010,994,3006,116
1408,1012,1988,4009,196
1409,2983,1967,1993,145
1410,982,2013,13,7
1411,1021,4016,4,17
1412,4013,2988,4014,20
1413,38,3006,3009,43
1414,2013,4017,4028,48
1415,34,3015,2017,133
1416,3969,4998,2989,164
1417,5016,3993,1016,210
1418,1997,28,2030,76
1419,3982,3987,1005,175
1420,3046,14,2991,77
1421,3997,3001,962,162
1422,4008,4997,4981,72
1423,978,2964,2986,1
1424,993,1005,3004,197
1425,1003,2013,2014,100
1426,3991,3990,997,175
1427,4969,5041,1017,62
1428,1992,3984,3010,134
1429,2035,2041,1017,66
1430,3031,4969,4011,205
1431,991,3980,4976,86
1432,986,1027,3975,2
1433,3001,4988,4002,205
1434,2011,3005,4015,170
1435,964,3009,985,97
1436,2004,2994,4972,149
1437,7,4996,1001,125
1438,9,4998,4970,130
1439,2023,4008,4022,48
1440,5029,4006,1027,210
1441,3031,37,1994,179
1442,3003,2025,4010,44
1443,3995,985,2984,116
1444,3985,2,4007,22
1445,3987,3982,2034,32
1446,4971,1992,1991,99
1447,2038,5047,3984,187
1448,2987,4028,4994,93
1449,4975,7,1037,78
1450,982,1964,3972,196
1451,5013,4986,32,90
1452,4991,37,2999,184
1453,4967,2962,3995,161
1454,3031,5003,5008,18
1455,8,1991,4006,108
1456,2982,1004,2,157
1457,987,2029,15,7
1458,1015,3036,4983,13
1459,969,5039,1009,203
1460,1990,16,2992,190
1461,2994,1043,3983,208
1462,15,3,2018,3
1463,5018,8,2997,184
1464,1000,10,1003,165
1465,1974,26,3984,92
1466,4994,2024,2995,126
1467,2998,998,1993,12
1468,4966,3,958,78
1469,2004,10,3991,92
1470,12,2003,1005,56
1471,3006,2023,995,60
1472,2979,5012,4992,18
1473,1022,3975,4002,206
1474,2021,1947,8,52
1475,1993,3997,3009,134
1476,3004,5013,2992,194
1477,4996,3008,5017,147
1478,8,6,13,151
1479,1003,1984,3012,37
1480,5023,6,4020,33
1481,2999,9,4995,132
1482,3009,3004,2988,172
1483,11,3032,982,200
1484,1033,2997,4995,13
1485,1996,3014,1006,57
1486,995,15,1995,59
1487,3984,1021,8,68
1488,2028,2005,1008,66
1489,3027,4,4983,132
1490,1007,27,4966,163
1491,2033,3001,2996,19
1492,3996,1997,3996,89
1493,1011,1,4981,163
1494,1972,2019,4049,150
1495,5016,1996,975,153
1496,5011,3002,981,53
1497,1995,3983,5001,119
1498,2981,1972,1994,145
1499,1031,4969,2998,24
